City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Cameron Park,US,2021-10-04 02:37:06,38.6688,-120.9872,78.73,32,0,4.68
68,Krasnokamensk,RU,2021-10-04 02:37:07,50.0979,118.0369,48.11,40,92,7.61
69,Port Alfred,ZA,2021-10-04 02:37:07,-33.5906,26.891,53.15,77,3,5.73
70,Thompson,CA,2021-10-04 02:32:42,55.7435,-97.8558,55.56,71,75,0.0
71,Ginda,IN,2021-10-04 02:37:07,30.6945,78.4932,65.88,69,0,1.63
72,College,US,2021-10-04 02:37:08,64.8569,-147.8028,34.29,95,90,3.44
73,Distraccion,CO,2021-10-04 02:37:08,10.8969,-72.8861,74.97,96,100,1.23
74,Geraldton,AU,2021-10-04 02:37:09,-28.7667,114.6,66.61,45,0,5.75
75,Aksay,RU,2021-10-04 02:37:09,47.26,39.87,48.42,45,100,11.68
76,Atar,MR,2021-10-04 02:37:09,20.5169,-13.0499,88.25,10,8,15.21
77,Pevek,RU,2021-10-04 02:37:10,69.7008,170.3133,26.71,90,99,2.13
78,Mandan,US,2021-10-04 02:36:29,46.8267,-100.8896,67.57,47,1,5.75
79,Xai-Xai,MZ,2021-10-04 02:37:10,-25.0519,33.6442,67.93,85,99,16.37
80,Tuktoyaktuk,CA,2021-10-04 02:37:10,69.4541,-133.0374,33.8,93,90,14.97
81,Saldanha,ZA,2021-10-04 02:37:11,-33.0117,17.9442,46.45,71,0,19.77
82,Meadow Lake,US,2021-10-04 02:37:11,34.8014,-106.5436,69.28,37,26,3.38
83,Jamestown,US,2021-10-04 02:36:04,42.097,-79.2353,67.32,98,90,4.0
84,Narragansett,US,2021-10-04 02:37:12,41.4501,-71.4495,66.04,81,90,6.91
85,Chanika,TZ,2021-10-04 02:37:12,-5.4167,38.0167,66.51,82,100,3.87
86,Warri,NG,2021-10-04 02:37:12,5.5167,5.75,75.36,95,100,1.7
87,Kotma,IN,2021-10-04 02:37:13,23.2,81.9667,79.81,73,0,1.9
88,Clyde River,CA,2021-10-04 02:37:13,70.4692,-68.5914,36.3,85,99,3.56
89,Guerrero Negro,MX,2021-10-04 02:37:13,27.9769,-114.0611,74.93,66,100,12.95
90,Boende,CD,2021-10-04 02:37:14,-0.2167,20.8667,68.67,99,100,2.93
91,At-Bashi,KG,2021-10-04 02:37:14,41.1702,75.8106,42.28,78,90,3.02
92,Cocal,BR,2021-10-04 02:37:14,-28.6167,-49.35,62.13,97,100,4.21
93,Kununurra,AU,2021-10-04 02:37:15,-15.7667,128.7333,98.58,15,11,11.5
94,Tiksi,RU,2021-10-04 02:37:15,71.6872,128.8694,26.31,83,100,21.23
95,Tura,IN,2021-10-04 02:37:16,25.5198,90.2201,77.77,91,34,4.36
96,Chokurdakh,RU,2021-10-04 02:37:16,70.6333,147.9167,26.06,96,100,9.31
