City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Mackay,AU,-21.15,149.2,92.68,66,2,17.27,clear sky
80,Mitzic,GA,0.7821,11.549,67.69,100,100,2.24,light rain
81,Punta Arenas,CL,-53.15,-70.9167,41.11,70,20,28.77,few clouds
82,Bloomfield,US,40.8068,-74.1854,71.98,85,90,1.01,overcast clouds
83,Bethel,US,41.3712,-73.414,68.58,91,90,3.44,moderate rain
84,Skotina,GR,40.0147,22.5515,56.37,65,39,2.66,scattered clouds
85,Kanash,RU,55.5086,47.4956,42.39,82,97,6.08,overcast clouds
86,Saldanha,ZA,-33.0117,17.9442,44.65,71,0,13.91,clear sky
87,Hilo,US,19.7297,-155.09,78.53,83,90,8.05,light rain
88,Weihe,CN,32.9952,105.3247,51.19,96,100,5.73,overcast clouds
89,Petauke,ZM,-14.2426,31.3253,78.46,38,68,9.91,broken clouds
90,Flin Flon,CA,54.7682,-101.865,49.05,45,1,3.87,clear sky
91,Margate,GB,51.3813,1.3862,55.9,84,46,4.0,scattered clouds
92,Huilong,CN,31.8111,121.655,89.98,75,54,21.03,broken clouds
93,Churapcha,RU,62.0025,132.4325,37.92,54,16,7.92,few clouds
94,Naze,JP,28.3667,129.4833,85.12,69,3,17.13,clear sky
95,Tasiilaq,GL,65.6145,-37.6368,21.9,58,47,4.43,scattered clouds
96,Urumqi,CN,43.801,87.6005,47.35,53,0,6.71,clear sky
97,Kahului,US,20.8947,-156.47,77.02,84,75,17.27,broken clouds
98,Jumla,NP,29.2747,82.1838,69.85,49,1,5.12,clear sky
99,Bluff,NZ,-46.6,168.3333,52.81,79,100,25.46,overcast clouds
100,Alofi,NU,-19.0595,-169.9187,76.89,83,90,14.97,light rain
101,Saskylakh,RU,71.9167,114.0833,23.14,90,100,15.32,overcast clouds
102,Severo-Kurilsk,RU,50.6789,156.125,47.53,79,49,22.39,scattered clouds
103,Pevek,RU,69.7008,170.3133,26.58,93,99,1.16,overcast clouds
104,Seddon,AU,-37.8068,144.8916,62.38,54,40,17.27,light rain
105,Clarence Town,AU,-32.5833,151.7833,84.06,28,0,15.57,clear sky
106,Cao Bang,VN,22.6667,106.25,88.16,56,37,4.23,scattered clouds
107,Fortuna,US,40.5982,-124.1573,58.42,74,90,0.0,overcast clouds
108,Ponta Do Sol,PT,32.6667,-17.1,72.01,77,100,6.46,overcast clouds
109,Roald,NO,62.5833,6.1333,54.0,82,75,12.66,light intensity shower rain
110,Prince Rupert,CA,54.3161,-130.3201,44.29,88,90,11.5,light rain
111,Lusambo,CD,-4.9667,23.45,69.91,94,100,1.07,overcast clouds
112,Castro,BR,-24.7911,-50.0119,61.56,97,100,3.18,light rain
113,Lata,PT,40.1629,-8.3327,52.07,80,100,0.89,overcast clouds
114,Brylivka,UA,46.4248,33.1472,52.36,47,87,8.21,overcast clouds
115,Port Hardy,CA,50.6996,-127.4199,50.0,100,40,3.44,scattered clouds
116,Ambilobe,MG,-13.2,49.05,81.14,46,39,5.06,scattered clouds
117,Camacupa,AO,-12.0167,17.4833,64.38,56,35,3.8,scattered clouds
118,Beyneu,KZ,45.3167,55.2,55.2,34,67,12.59,broken clouds
119,Tandil,AR,-37.3217,-59.1332,40.3,78,3,4.27,clear sky
120,Evora,PT,38.5667,-7.9,50.94,83,60,6.42,broken clouds
121,Mehamn,NO,71.0357,27.8492,49.15,80,100,25.64,light rain
122,Sulangan,PH,11.1373,123.7228,80.17,87,100,14.58,moderate rain
123,Batagay-Alyta,RU,67.8006,130.4114,25.95,72,76,4.92,broken clouds
124,Namatanai,PG,-3.6667,152.4333,85.46,67,99,6.11,light rain
125,Thompson,CA,55.7435,-97.8558,44.76,87,1,0.0,smoke
126,Beipiao,CN,41.7919,120.7792,55.49,48,100,13.65,overcast clouds
127,Korla,CN,41.7597,86.1469,56.46,27,84,3.42,broken clouds
128,Seredka,RU,58.1584,28.1858,40.75,89,3,11.61,clear sky
129,Pacific Grove,US,36.6177,-121.9166,73.29,71,1,3.0,clear sky
130,Hong Gai,VN,20.956,107.0946,91.31,64,64,9.82,broken clouds
131,Tete,MZ,-16.1564,33.5867,84.04,53,28,11.43,scattered clouds
132,Talnakh,RU,69.4865,88.3972,24.75,94,100,6.93,overcast clouds
133,Vestmannaeyjar,IS,63.4427,-20.2734,45.3,75,69,22.59,broken clouds
134,Dedza,MW,-14.3779,34.3332,69.1,49,8,5.06,clear sky
135,Sri Aman,MY,1.2376,111.4621,89.65,66,40,5.75,scattered clouds
136,Carlsbad,US,33.1581,-117.3506,77.99,40,1,1.01,clear sky
